document_id,title,business_class,sensitivity,allowed_roles,owner,version,source_uri,dataset,license,sha256
swg21179559,IBM Guide to properly setting up SSL within the IBM HTTP Server - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21179559.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,46b30f59807fbb616787ad309e29f80c6a6b46eb526a77b962f2678f7e55768b
swg21636093,IBM 2035 MQRC_NOT_AUTHORIZED Connecting to WebSphere MQ from WebSphere Application Server via CLIENT Bindings - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21636093.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,ec6c9cfcf6111dfe6a0b4b96a879d6c703d44240fca6aabe0348358d4d02bc10
swg21263677,IBM Rational Application Developer Support Policy for 64 bit technology - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21263677.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,f13f501d8f9749a10d987e8299583df3c6b359b48f91a0d1924c93af75563b15
swg21515420,IBM Starting WebSphere Application Server gives warning message - Could not lock User prefs - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21515420.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,8bc7591ccbb889de5a565f33b349ae57083d9f73912483d9a7b58cb34807d8b3
swg21648497,IBM Insufficient ulimit Value Causes Native OutOfMemory - United States,operations-support,internal,operations,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21648497.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a5db43b4e9938ccb84214b57faedf433e60c36d1c0ff11f1405daf4af1ebe17e
swg21998452,IBM Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21998452.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,e9143dc199c406876a1528bfad44d4e44b0d7e519b618cdbbb216ac93ef1d3c8
swg21469413,IBM Guidelines for setting ulimits (WebSphere Application Server) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21469413.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,11dcec31f0f83364f0bc9ab1896ae952e6af3559f5750d1d24c6b4c96252a38c
swg27019359,IBM WebSphere Portal V6.1.0.5 and V6.1.5.2 hardware and software requirements - AIX - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg27019359.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,836105be50f0e1ea5bfcd5b6196859d75f7bd6eedc3db2a0820d65995a2422ca
swg21611073,IBM Deletion of virtual portal fails with transaction timeout - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg21611073.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a7ec8cca6861adbdf6f50b5953220df3ef7bf09354e02a85143de8a3457ab4bf
swg24035040,IBM Rational Host Access Transformation Services 9.0 - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-2025-05-05,hf://nvidia/TechQA-RAG-Eval/corpus/swg24035040.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,1f7d06ff7463552d90ff4372e32c1eb69f183f49edafd86deef3b1489a0dc8f1
